LOCATION,SHORT,LONG,time,date,feels_like_c,image.JPG,lat + lon,body_index_list,sound_url
"Geylang, Singapore",Thick-air fieldwork,"Geylang was a sensory overload in the best way—dense heat clinging to my arms, neon signs buzzing, the smell of frying garlic and fruit stands mixing into this chaotic perfume. I was there for a project, taking buses that felt like ovens between stops. Everything stuck to everything: my hair to my neck, my clothes to my back, my notebook pages to my palms. But the food was unreal, and the neighborhood felt alive in a way that made my exhaustion feel almost cinematic, like I was wandering through someone else’s heat-soaked dream.",16:33,7/24/23,,geylang,"1.31° N, 103.88° E","	•	Air: loud humidity
	•	Skin: Sweaty & sticky
	•	Steps: bus to bus
	•	Mood: sensory overload",
"Lazarus Island, Singapore",Sauna ocean ride,"On the boat to Lazarus Island I expected ocean wind to cool me down, but the air stayed warm and still, like the sea was exhaling a slow sigh. My grandpa fished off the side of the boat with practiced calm while I failed to catch anything except sunburn. The water shimmered in a way that made everything feel slightly unreal. Even out in open water it felt like a sauna, but watching my grandpa reel in a fish with a tiny proud smile made the heat feel less like a punishment.",19:01,8/13/23,,sgfish,"1.23° N, 103.86° E","	•	Air: warm sea
	•	Hair: wind tangled
	•	Boat: light sway
	•	Mood: drifting ease",
"Kamo River, Kyoto",Capybara(?) sighting,"We were walking along the Kamo River after dinner, the sky just slipping into blue hour, lights reflecting in long ripples. Couples sat on the banks, friends biked by, the city humming softly around us. And then—casually—a capybara (?) waddled out like it was part of the nightlife. We all froze, unsure if we were hallucinating from travel fatigue. It lingered just long enough for us to laugh in disbelief. The warm night breeze, the river smell, the surreal creature—it all blurred into one oddly tender moment.",19:21,9/1/23,,kyotocapy,"35.01° N, 135.77° E","	•	Air: night cool
	•	Steps: river stroll
	•	Sight: unexpected friend
	•	Mood: amused",
"Sannenzaka, Kyoto",Cold dawn climb,"We woke before sunrise to climb Sannenzaka with almost no one around. The air was crisp enough to sting my nose, but the sky was turning cotton-candy colors that made it feel worth it. The wooden storefronts creaked softly, and distant footsteps echoed as tourists slowly gathered. I remember smelling something sweet—maybe early morning taiyaki or roasted tea—and feeling like the whole street was waking up with us. At the top, breathless and slightly shivering, the view felt like being briefly let in on a secret.",06:45,9/1/23,,kyototower,"35.00° N, 135.78° E","	•	Air: crisp morning
	•	Light: slow climb
	•	Steps: tourist shuffle
	•	Mood: gentle anticipation",
Lake Kawaguchiko,Bare Fuji morning,"At Kawaguchiko I woke at 5am, expecting another cloudy morning. Instead, the sky opened just enough to reveal Fuji—snowless in summer, its peak cutting sharply into the pastel sky. The air was chilly but gentle, the kind that settles quietly on your skin. Yesterday’s rain still clung to the railings in tiny droplets. Everything felt too still, like the mountain was holding its breath with me. It looked incomplete without snow, yet somehow more vulnerable, and in that moment I felt strangely connected to its bare, quiet shape.",05:02,9/5/23,,fuji,"35.51° N, 138.76° E","	•	Air: cold dawn
	•	Skin: leftover rain
	•	View: sudden clearing
	•	Mood: stunned quiet",
Washington Square Park,Cold bagel line,"We stood an hour in the cold for pop-up bagels, fingers tucked into our sleeves, talking mostly about how numb our toes were. When we finally got them—warm, chewy, dipped in that viral sauce—we carried them to Washington Square Park and sat near a cluster of aggressive pigeons. The first bite felt like being instantly reheated. Steam rose into the crisp air, mixing with the smell of roasted nuts from a nearby cart. For a moment, the wait didn’t matter; warmth returned from the inside out.",11:11,11/11/23,,bagels,"40.73° N, 73.99° W","	•	Air: winter bite
	•	Hands: warm paper bag
	•	Park: pigeon orbit
	•	Mood: simple reward",
"Rolf’s, NYC",Overheated Christmas bar,"Rolf’s looked like Christmas exploded—ornaments dangling from every inch of ceiling, warm lights reflecting off glass and tinsel. Outside, the wind cut straight to my bones, but inside felt like stepping into a glittering furnace. My glasses fogged instantly. People were packed elbow-to-elbow, murmuring under the heavy decor. I remember peeling off my jacket and feeling my whole body sigh in relief. The contrast was so extreme it almost felt theatrical, like the bar was performing warmth after the city’s icy slap.",21:46,11/11/23,,nycbar,"40.74° N, 73.98° W","	•	Air: freezing street
	•	Inside: warm glow
	•	Scent: sweet spices
	•	Mood: surprised delight",
Cholla Cactus Garden,Unexpected desert glow,"My dad and I didn’t expect a sunset at Joshua Tree that day—the sky was gray all afternoon. But right as we considered leaving, the clouds split open and golden light poured over the cholla cactus garden. The air shifted from cool to warm in minutes, like someone turned a dial. Every cactus spine lit up like tiny lanterns. We stood there saying nothing, just letting the moment happen. It felt like the desert was giving us a quiet, unplanned gift.",16:48,12/27/23,,jtsunset,"33.91° N, 115.94° W","	•	Air: cooling desert
	•	Light: final burst
	•	Skin: prickly dry
	•	Mood: held by color",
Big Bear Lake,Snowman break,"At Big Bear, the cabin smelled faintly of pine and leftover hot chocolate. Three of us trudged into the patch of snow behind the Airbnb, bundled in ridiculous layers, determined to build a snowman before the afternoon sun melted everything. Our fingers froze inside damp gloves, but the laughter kept cutting through the cold. It felt like a stolen pause from the chaos of college—a small winter pocket where time slowed down just enough for us to act like kids again.",17:07,1/13/24,,bigbear,"34.24° N, 116.90° W","	•	Air: pale snow cold
	•	Hands: numb
	•	Breath: little clouds
	•	Mood: restful & happy",
"Sumida Park, Tokyo",Early sakura morning,"We got to Sumida Park before sunrise, breath visible in the brisk air, hoping to find even a few cherry blossoms in bloom. The sky was a clear, unreal blue, the kind that makes colors look hyper-saturated. The trees only had scattered blossoms, but each one glowed faintly pink in the early light. Cold wind nudged at my jacket, but standing there felt peaceful—quiet chatter, camera shutters, the faint smell of river water. It was one of those mornings where beauty doesn’t shout; it just hums softly around you.",09:01,3/26/24,,jpsakura,"35.71° N, 139.81° E","	•	Air: brisk bloom
	•	Light: soft pink + blue
	•	Steps: early crowd
	•	Mood: uplifted",
"Grandview Park, SF",Windy stair climb,"The climb up to Grandview Park felt endless—hundreds of stairs, each one testing my already sniffling, wind-beaten body. The air at the top was razor-cold, sharp enough to make my eyes water. But the view was unreal: the whole Sunset neighborhood laid out like a tilted mosaic, the ocean a faint glitter at the edge. The wind was so strong it felt like it could lift my hair straight off my head. Even through the congestion and cold, something about that view unclogged my thoughts.",20:42,5/25/24,,grandview,"37.75° N, 122.47° W","	•	Air: sharp wind
	•	Nose: nonstop sniffles
	•	Legs: staircase fatigue
	•	Mood: super still & crisp",
"Hayes St., SF",The yellow house,"Hayes Street glowed in the late afternoon sun, the Victorian houses painted in colors that looked too perfect to be real. I had my camera slung over my shoulder, sweat drying lightly on my back from walking all day. When I snapped the photo I always think of now, the air felt warm and buzzy, the kind of temperature that makes everything feel a little more alive. People laughed on stoops, a dog barked somewhere, and the whole street hum felt like a summer postcard.",14:51,7/5/24,,sf,"37.77° N, 122.43° W","	•	Air: clean sun
	•	Light: bright façades
	•	Feet: slow wandering
	•	Mood: lighthearted ease",
Banff National Park,Foggy morning view,"We hiked to the viewpoint in Banff expecting a sweeping panorama, but instead everything was swallowed by fog—thick, soft, almost theatrical. The air was cool and just a bit damp, brushing my face like chilled cotton. I was tired, still waking up, my brain fog matching the weather. But the scene felt strangely beautiful: outlines of trees fading in and out, tiny drops clinging to my hair. I lifted my camera anyway. Something about the quiet made the moment feel intimate, like the mountain was whispering instead of showing off.",10:46,9/11/24,,banfffog,"51.50° N, 115.93° W","		•	Air: brisk morning chill
	•	Hands: tucked in sleeves
	•	Hair: touched by mist
	•	Mood: half-awake",
Lake Louise,Steep turquoise view,"That hike above Lake Louise was steeper than I expected. My breath came in short bursts, the cold alpine air hitting my lungs like mint. But every few turns the trees opened up, and I’d see the Fairmont and the lake below—this perfect turquoise mirror framed by mountains. My legs were burning, cheeks flushed, but I couldn’t stop taking pictures. The air felt impossibly clean, like each inhale scrubbed my thoughts a little clearer. Even the silence had weight to it, the good kind.",17:28,9/14/24,,lakelouise,"51.42° N, 116.18° W","	•	Air: alpine cool
	•	Legs: steady burn
	•	View: green glass water
	•	breath: exhales",
Emerald Lake,Ideal Summer,"Emerald Lake lived up to its name—the water so vividly blue-green it looked edited. The sun was warm, bouncing off canoes gliding slowly across the surface. I stood at the shore, watching ripples stretch out like silk being pulled. A light breeze skimmed my arms, warm but not hot, carrying the scent of pine. Everything felt calm and saturated, like the world had turned its color settings up one notch. Even the mountains seemed relaxed, lounging behind the lake like old friends.",10:56,9/16/24,,emeraldlake,"51.44° N, 116.53° W","		•	Surface: loose gravel
	•	Color: bright turquoise flashes
	•	Body: steady warmth
	•	Mind: unhurried",
Akaroa Lighthouse,Cloudy French-NZ mix,"Akaroa felt like stepping into a tiny French seaside village dropped onto a New Zealand peninsula. Everything was cloudy and cool, the light soft and diffused. Sailboats bobbed gently in the harbor, and narrow streets smelled faintly of salt and pastries. The air had that coastal chill that settles into your sleeves but never fully freezes you. I remember thinking the town felt layered—part countryside, part small port, part something dreamlike. Even now, the memory feels wrapped in gray-blue light.",19:05,12/20/24,,akaroa,"43.81° S, 172.96° E","	•	Air: muted coast
	•	Steps: slow wandering
	•	Light: cloud filtered
	•	Mood: quiet affection",
Aoraki / Mount Cook,Lupins Everywhere,"Halfway up the Hooker Valley Trail, my legs were warm from the steady incline, but the air stayed cool enough to nip at my fingers. Lupins spilled across the valley in impossible purples and pinks, like someone dumped out a giant box of pastels. A glacial river rushed beside the path, milky blue from rock flour, its sound soft but constant. The sun blinked in and out behind clouds, lighting the mountains in brief dramatic flashes. It felt both remote and deeply familiar, like a place my body already understood.",11:46,12/24/24,,aoraki,"43.73° S, 170.10° E","	•	Air: glacier breeze
	•	Legs: rhythmic steps
	•	Scent: wet stone
	•	Mood: grounded peace",
Tasman Lake,Glacier Wind,"On the Tasman Lake jetty boat, the wind whipped so fast it felt like needles brushing past my ears. We bounced over the water, spray hitting my face, until the glacier finally appeared—this massive blue-white wall, dense and textured like carved stone. Getting close enough to see the cracks and layers made me realize how ancient it was. The air around it felt colder, sharper. My hair was stuck to my cheeks, but I couldn’t stop staring at the ice, thinking how strange it was to be so close to something that never melts easily.",16:14,12/24/24,,glacier,"43.73° S, 170.13° E","	•	Air: sharp chill
	•	Spray: cold flecks
	•	Grip: cold railing
	•	Mood: awe without words",
540 Kelton Ave,Birthday before goodbye,"It was three weeks before graduation, my 22nd birthday, and the apartment felt like a time capsule—half-packed suitcases, leftover party smell still clinging to the couch. My friend and I sat together the way we had for years, but everything felt slightly tinted with endings. “Ribs” by Lorde kept looping in my head, that growing-up ache. The window was cracked open and warm LA air drifted in, mixing with the faint scent of spilled drinks from the night before. It was a quiet, bittersweet moment, small but heavy with change.",01:50,5/10/25,,joc,"34.06° N, 118.45° W","	•	Air: warm apartment
	•	Shoulders: unwound
	•	Eyes: watery
	•	Mood: growing up is sad",
UCLA Royce Hall,Fizzy graduation,"On the UCLA lawn, sunlight bounced off every champagne bottle in sight. When my friend popped ours, cold spray shot across my arms and face—shockingly chilly, sticky as it dried. People around us were shouting, laughing, tossing caps into the air. Royce Hall glowed in the background like a backdrop someone carefully chose for us. My shoes were wet, the grass was damp, and my voice was already hoarse from cheering. It felt like standing inside a bubble of celebration, brief and bright and fizzy in every sense.",14:12,6/5/25,,champagne,"34.07° N, 118.44° W","	•	Air: noon heat
	•	Skin: sticky
	•	Sound: cork pop
	•	Mood: brief euphoria",
Tillinghast Beach,Moonrise,"The first time I visited the “RISD beach,” the air surprised me—it was so much hotter than I expected for Rhode Island. The sand was coarse, almost pebbly, scratching lightly against my feet as I walked toward the shoreline. When the moon began to rise, the sky shifted into soft pastels, and the whole beach fell into this peaceful quiet. Waves lapped slowly, and the warm wind carried a faint salty heaviness. It felt like a different coast entirely, new but strangely comforting, like a small beginning.",19:44,8/7/25,,risdbeach,"41.74° N, 71.38° W","	•	Air: warm breeze
	•	Sand: coarse grain
	•	Light: rising moon
	•	Mood: settling in",
Roger Williams Zoo,Coldest Halloween,"At Roger Williams Park Zoo’s pumpkin walk, everything glowed—a tunnel of carved faces, lanterns, and lights flickering against the trees. But it was freezing. I’d stupidly worn a costume with shorts, and the cold gnawed straight through my legs. My breath puffed out in little clouds as crowds shuffled past, kids pointing at their favorite pumpkins. My fingers were numb, but the warm orange glow everywhere made the night feel magical. It was the kind of cold you complain about nonstop, but secretly love because the memory shines brighter because of it.",22:17,10/31/25,,pumpkin,"41.79° N, 71.41° W","	•	Air: biting cold
	•	Legs: shivering effort
	•	Glow: warm lantern spread
	•	Mood: Regret",
